"MMM.Close","AXP.Close","AAPL.Close","BA.Close","CAT.Close","CVX.Close","CSCO.Close","KO.Close","JNJ.Close","NKE.Close","PG.Close","RTX.Close","UNH.Close","VZ.Close","DIS.Close"
170.910004,65.889999,99.029999,131.929993,76.809998,103.32,29.07,45.32,115.730003,53.549999,82.32,63.845184,136.940002,51.75,98.349998
171.419998,66.260002,98.940002,133,78.110001,103.089996,29.139999,45.549999,115.800003,54.119999,82.650002,64.235367,140.399994,51.52,98.040001
170.130005,65.709999,99.650002,133.100006,77.160004,102.809998,29.139999,45.759998,117,54.939999,83.169998,64.3927,140.679993,51.950001,97.839996
168.559998,64.970001,98.830002,131.139999,76.029999,101.980003,29.030001,45.990002,117.010002,55.110001,83.199997,64.191315,139.240005,52.669998,97.339996
167.130005,63.669998,97.339996,129.919998,75.230003,102.099998,28.84,45.119999,116.790001,54.91,82.57,63.694149,138.089996,52.57,97.57
167.610001,61.07,97.459999,130.5,74.860001,101.279999,28.959999,45.040001,117.120003,54.119999,83.349998,63.681561,137.869995,52.990002,98.400002
167.800003,61.419998,97.139999,130.160004,75.07,100.629997,28.65,45.009998,116.410004,54.310001,82.949997,63.272499,137.259995,52.84,98.269997
169.929993,61.93,97.550003,129.369995,74.989998,101.07,28.870001,45.310001,116.639999,53.470001,83.410004,63.637508,138.660004,53.459999,98.379997
168.940002,61.860001,95.330002,129.820007,75.93,101.57,28.950001,44.790001,115.480003,53.709999,83.129997,63.687855,137.690002,53.779999,99
171.229996,62.299999,95.099998,132.75,76.43,102.610001,28.799999,44.98,116.540001,54.360001,83.040001,64.002518,138.520004,53.759998,99.57
171.369995,62.290001,95.910004,131.520004,76.489998,103.239998,28.77,45.130001,116.18,54.77,83.410004,63.920704,138.190002,54.099998,98.82
171.229996,61.950001,95.550003,131.770004,76.43,102.290001,28.719999,44.860001,116.459999,54.57,83.57,63.782253,137.899994,54.029999,98.790001
174.110001,63.25,96.099998,133.550003,78.220001,104.440002,29.219999,45.080002,117.379997,54.119999,84.209999,64.398994,139.190002,54.669998,99.019997
169.119995,60.060001,93.400002,126.519997,73.029999,101.900002,27.75,43.93,115.629997,52.59,82.260002,62.234108,137.289993,54.43,95.720001
167.190002,57.669998,92.040001,122.699997,71.379997,100.360001,27.309999,43.779999,116.550003,51.889999,81.230003,61.176842,137.110001,54.740002,94.379997
169.589996,57.900002,93.589996,123.889999,72.519997,101.629997,27.790001,44.18,118.230003,53.09,82.459999,62.322216,138.710007,54.82,96.050003
171.520004,59.630001,94.400002,126.989998,74.230003,103.419998,28.26,44.439999,119.330002,55.130001,83.910004,63.228447,140.520004,55.060001,96.980003
175.119995,60.759998,95.599998,129.869995,75.809998,104.830002,28.690001,45.330002,121.300003,55.200001,84.669998,64.537445,141.199997,55.84,97.82
175.539993,60.689999,95.889999,129.690002,76.449997,104.150002,28.799999,45.119999,121.290001,55.610001,84.779999,64.650726,140.860001,56.23,98.029999
175.630005,59.150002,94.989998,126.970001,74.379997,103.57,28.33,45.43,122.269997,55.200001,85.440002,63.322845,141.559998,56.529999,97.660004
175.160004,59.48,95.529999,126.959999,74.830002,104.580002,28.719999,45.27,122.639999,55.799999,85.029999,63.801132,142.380005,56.259998,98.449997
174.869995,59.810001,95.940002,127.169998,75.050003,103.050003,28.74,45.09,122.510002,55.919998,84.830002,64.172432,140.800003,55.380001,98.410004
177.119995,61.490002,96.68,130.089996,77.370003,104.769997,29.26,45.380001,122.849998,56.720001,85.769997,65.236,141.270004,55.900002,99.620003
178.009995,62.16,96.980003,132.039993,77.800003,105.389999,29.43,45.57,122.93,56.830002,85.75,65.424797,140.320007,55.93,99.980003
179.160004,63,97.419998,130.809998,79.800003,106.779999,29.610001,45.580002,122.919998,58.060001,85.75,65.764633,139.860001,55.470001,100.199997
179.210007,63.099998,96.870003,130.110001,79.690002,106.650002,29.75,45.740002,123,57.990002,85.889999,66.135933,141.479996,56,99.879997
180.899994,63.610001,98.790001,131.550003,80.059998,106.699997,29.76,45.689999,123.18,58.490002,85.870003,66.167404,140.839996,55.84,99.970001
181.399994,63.779999,98.779999,132.389999,80.699997,107.029999,29.82,45.630001,123,57.869999,86.010002,66.393959,141.330002,55.84,99.800003
181.110001,63.990002,99.830002,133.429993,79.82,106.089996,29.91,45.630001,123.139999,57.740002,85.93,66.387665,140.75,55.93,100.150002
181.240005,64.160004,99.870003,134.660004,79.739998,106.040001,29.92,45.630001,125.25,57.759998,86.169998,66.469475,142.589996,55.700001,99.470001
181.419998,64.480003,99.959999,134.720001,79.690002,105.589996,30.629999,45.509998,125.139999,57.759998,85.32,66.733795,143.020004,55.619999,98.220001
180.259995,63.43,99.43,133.529999,80.010002,105.389999,30.58,45.450001,125.150002,56.990002,85.260002,66.61422,142.869995,55.369999,98.010002
